menu_id,name,provider_id,position
1000161,Brownies,1000046,1
1000162,Main Course,1000025,1
1000163,Picked for you,1000025,1
1000164,Appetizer,1000024,1
1000165,Dim Sum ALL DAY,1000060,1
1000166,Appetizer,1000006,1
1000167,Appetizers,1000066,1
1000168,Picked for you,1000066,1
1000169,Kitchen and Bathroom,1000079,1
1000170,Speciality Dishes,1000001,1
1000171,Cereal & Breakfast1,1000020,1
1000172,Other Items1,1000020,1
1000173,Steaks and Combos,1000008,1
1000174,Sides,1000040,1
1000175,Smoothies,1000036,1
1000176,Waffle Time,1000036,1
1000177,Picked for you,1000036,1
1000178,Smoothie Bowls,1000036,1
1000179,Mains,1000020,1
1000180,Grocery,1000072,1
1000181,A Helping Hand,1000022,1
1000182,Cooked Chicken,1000100,1
1000183,Tandoori Khazana,1000010,1
1000184,Extras,1000093,1
1000185,Sides,1000034,1
1000186,Sides,1000084,1
1000187,Medicine/Tylenol/Advil,1000079,1
1000188,Health Essentials,1000072,1
1000189,Pharmacy,1000005,1
1000190,Grocery,1000035,1
1000191,Chocolates,1000020,1
1000192,Chocolates,1000072,1
1000193,Picked for you,1000015,1
1000194,African Soups,1000015,1
1000195,Appetizers,1000002,1
1000196,Bake a Cake / Brownie,1000022,1
1000197,Cookies/Crackers & Munchies1,1000020,1
1000198,Gum & Mints1,1000020,1
1000199,Candy1,1000020,1
1000200,Gum / Mints,1000022,1
1000201,House Hold & Cleaning,1000005,1
1000202,Sushi Combos,1000002,1
1000203,Ajio Special,1000002,1
1000204,Burrito Bowls,1000004,1
1000205,Burritos (comes with side of tortilla chips),1000004,1
1000206,Soft Tacos (3 per order) Warning! Tacos do not show up piping hot!!!,1000004,1
1000207,Wrap Cruncho Supremos (comes with side of tortilla chips),1000004,1
1000208,Special Rolls,1000002,1
1000209,Salads and Bowls,1000039,1
1000210,Picked for you,1000007,1
1000211,Main Choices,1000007,1
1000212,Deli & Prepared Meals,1000005,1
1000213,Power Shakes & Smoothies,1000027,1
1000214,Grocery,1000079,1
1000215,Salads,1000027,1
1000216,Candy,1000020,1
1000217,Candy,1000072,1
1000218,Candy,1000022,1
1000219,Condiments,1000005,1
1000220,Juice and Ice Tea,1000079,1
1000221,Drinks,1000020,1
1000222,Feeds,1000022,1
1000223,Signature Milk Tea (Contains Milk),1000065,1
1000224,Sherbet (Contains Milk),1000065,1
1000225,Vegetarian Specialties,1000010,1
1000226,Vegetarian Entrees,1000038,1
1000227,Breads,1000010,1
1000228,Breads,1000050,1
1000229,Hot Appetizers,1000010,1
1000230,Hot Appetizers,1000050,1
1000231,Spud's Poutine Shack,1000092,1
1000232,Pets,1000005,1
1000233,Frozen Food,1000035,1
1000234,Personel Care,1000022,1
1000235,Body Care Products,1000079,1
1000236,Health and Beauty,1000005,1
1000237,Specialty Flatbreads,1000017,1
1000238,Picked for you,1000093,1
1000239,Pub Fare,1000093,1
1000240,All Day Breakfast,1000104,1
1000241,Hot Drinks,1000056,1
1000242,Coffee & Drink,1000036,1
1000243,Coffee & Espresso Drinks,1000067,1
1000244,Hot Beverages,1000097,1
1000245,Hot Beverages,1000098,1
1000246,Hot Beverages,1000103,1
1000247,Picked for you,1000004,1
1000248,Alcoholic Beverages,1000004,1
1000249,Alcoholic Beverages,1000094,1
1000250,Alcoholic Beverages,1000053,1
1000251,Signature Soldiers,1000023,1
1000252,Sides,1000039,1
1000253,Picked for you,1000034,1
1000254,Burger Combos,1000034,1
1000255,A la Carte,1000034,1
1000256,Burgers and Handhelds,1000093,1
1000257,Cereal and Breakfast Foods,1000072,1
1000258,Cereal and Breakfast Foods,1000022,1
1000259,Cereal and Breakfast Foods,1000020,1
1000260,Juices & Cleanses,1000028,1
1000261,Gourmet Burgers,1000094,1
1000262,Vegetables and Fruits,1000079,1
1000263,NEW! Vitamins,1000028,1
1000264,Dessert,1000090,1
1000265,Crepes,1000029,1
1000266,Baked Goods,1000097,1
1000267,Baked Goods,1000098,1
1000268,Fresh Juice,1000012,1
1000269,Picked for you,1000043,1
1000270,Fresh Juice,1000065,1
1000271,Cold Beverages,1000097,1
1000272,Cold Beverages,1000098,1
1000273,Twists,1000018,1
1000274,Forks and Knives,1000051,1
1000275,Desserts,1000104,1
1000276,Fresh Fruits & Vegetables,1000005,1
1000277,Snacks & Sides,1000047,1
1000278,Snacks & Sides,1000048,1
1000279,Desserts,1000013,1
1000280,Desserts,1000044,1
1000281,Desserts,1000099,1
1000282,Beverages,1000042,1
1000283,Lunch,1000075,1
1000284,Loaves,1000018,1
1000285,Water,1000079,1
1000286,Natural & Sparking waters,1000035,1
1000287,Beverage,1000077,1
1000288,Hot Coffee,1000049,1
1000289,Tea Drinks,1000014,1
1000290,Ciders and Coolers,1000088,1
1000291,Beverages,1000079,1
1000292,Drink 饮料,1000037,1
1000293,Picked for you,1000022,1
1000294,Starters,1000091,1
1000295,Salad,1000007,1
1000296,Salad Boxes,1000070,1
1000297,Desserts,1000063,1
1000298,Fresh Bakery,1000027,1
1000299,Assorted Maza,1000052,1
1000300,Sushi & Sashimi Combo,1000024,1
1000301,Picked for you,1000099,1
1000302,"12"" Subs Combo",1000099,1
1000303,Korean and Chinese Dishes,1000002,1
1000304,Dairy Products and Meat,1000079,1
1000305,Frozen Groceries,1000089,1
1000306,Party Tray,1000006,1
1000307,Cereals & Breakfast,1000005,1
1000308,New Dishes 新品,1000086,1
1000309,Cell Phone Cabl Charge and other Cabl,1000079,1
1000310,Meal Size,1000071,1
1000311,Handrolls,1000024,1
1000312,OKO Sandwiches,1000056,1
1000313,Sushi Pizzas,1000073,1
1000314,Sushi Rolls,1000073,1
1000315,Maki or Hand Rolls,1000002,1
1000316,Soups and Salads,1000002,1
1000317,Soups and Salads,1000073,1
1000318,Real Fruit Smoothie (Contains Milk),1000065,1
1000319,Smoothies,1000066,1
1000320,Start Your Day At Anytime,1000031,1
1000321,Toasts,1000067,1
1000322,Teasers,1000017,1
1000323,Special Offers,1000079,1
1000324,Side Dishes,1000025,1
1000325,World's Best Burgers,1000096,1
1000326,Sushi Bowls,1000006,1
1000327,Vermicelli,1000066,1
1000328,Picked for you,1000092,1
1000329,Special Teams,1000092,1
1000330,Appetizers,1000073,1
1000331,Hand-helds,1000051,1
1000332,Mains,1000043,1
1000333,Two Handed Sammies,1000039,1
1000334,Grilled Fresh,1000012,1
1000335,Salads,1000088,1
1000336,TOLAGOS DAILY SPECIALS : 54 James St North,1000084,1
1000337,Chicken,1000084,1
1000338,Burgers and Wraps,1000074,1
1000339,Sashimi,1000073,1
1000340,Sushi,1000073,1
1000341,Sauces,1000023,1
1000342,Montana's Market,1000051,1
1000343,Dips,1000053,1
1000344,Dips,1000084,1
1000345,Chef Challenge,1000038,1
1000346,Signature Sauces,1000061,1
1000347,Veggie & Salads,1000013,1
1000348,Sandwiches,1000103,1
